10000000,if youre going down might as well go down in flames cringe
10000001,majority vaccinated count the people that have had covid then even more covered biden squandered a year and did zero he was handed vaccines testing and theroputics on a gold platter
10000002,i will hang with drunk don any day lol
10000003,all of the media outlets ended their covid counters as soon as biden the tyrant went into office even …
10000004,i don ’ t have a point of reference for how someone gets to the point where they feel comfortable saying racial slurs… howwhy did she feel okay saying what she said i honestly don ’ t get it
10000005,i am no fan of deblasio but the fact that allows to trash the out going mayor and be belligerent and sloppy on…
10000006,you do realize these verses are showing how opposite jesu is from what moshicah will do right
10000007,you were actually watching fakenews say it ain ’ t so
10000008,bye bye waving hand you have outlived yaself face with rolling eyes
10000009,is there a video of you talking to the boys we all want a toilet cozy now
10000010,go figure
10000011,here ’ s a “ racist ” story for they ’ re always looking for racism in every story they report or try to find new ways to help democrats win but they ’ re not going to report this
10000012,only people who are seditious amp treasonous would allow coverage of tfg on jan
10000013,shes stunning
10000014,pedophiles
10000015,he cohosted cnns new years eve live
10000016,here are some of the new laws that went into effect january
10000017,michelle odinet resigned friday after a video surfaced earlier this month showing people using racist language at her home https…
10000018,where has the channel gone
10000019,no that ’ s and all their pedophiles
10000020,my gawd grimacing face ratings for dec
10000021,happy new year from new york city cnnnye
10000022,yes rf violated international law by invading georgia
10000023,damn face with tears of joyface with tears of joyface with tears of joy what were y ’ all smoking
10000024,that was one of the best boston legalsrolling on the floor laughing
10000025,no im blaming biden for giving up and not sending out masks trying to do things and forcing the courts to shut them down working on more stimuli not making public recommendations to close schools and restrict indoor gatherings he could at least give an appearance of effort
10000026,brandon started it america suffers again
10000027,trying to pull up to that new year party next year
10000028,smart ppl would ask what are the cops doing or where are the cops
10000029,i lie about nothing you boasted about the lolz you boasted that rfs bribe sector strengthened its economy lmfao
10000030,dear amp i hv a serious request please do not mention broadcast refer or otherwise speak thnameshow thvi…
10000031,colonialist institutions and their systems are still very much in place today we ’ ll “ get over it ” when that is no longer the case
10000032,this was sicking uncalled for and the reason i cant stand big mouth drunks on a rant what a pig spoiled the who idea of watching the new year show
10000033,has informed he ’ ll need a new cohost for the nye show maybe … on second thought no anderson was egregiously vituperative about kathy ’ s misstep which looks so minor now white guys get forgiven so easily
10000034,amen
10000035,what about elite privilege like a pedophile ring that gets covered up by the courts media and government
10000036,pope francis has condemned violence against women as an insult to god in his new years day homily
10000037,well dont look up
10000038,“ one of the issues w ’ s reporting on ethiopia was her sole focus on alleged atrocities committed in tigra…
10000039,as you should what a moronic set of choices by fireandycohen
10000040,…
10000041,the socialist clown jumped the shark
10000042,lol you ’ re crumbling it ’ s not a good look face with spiral eyes
10000043,a woman is murdered allegedly by a lover and this is the only picture you could find to represent her …
10000044,another fine production by
10000045,yes eu blamed georgia for over reacting to sos attack on georgian villages ive acknowledged that eu also found russia broke international law by invading georgia
10000046,ron pinkham then what has history proven about the acts of kooks
10000047,leftwing propaganda outlet for the democrat party nothing more where were they on cuomo in fake news
10000048,maybe they will when if hate stops selling
10000049,singer who started a new las vegas residency at the resorts world theatre shares with and cohen…
10000050,fear porn is getting old
10000051,this hundred pointshundred pointshundred points a documentary on the systematic efforts by white conservatives to keep black americans and other americans who are people of color from being able to vote
10000052,samesies i think better people will get their sht together before next nye and we ’ ll have real choices crossed fingers
10000053,strangethere is a fire but also inches of snowim confuseunamused facehard times
10000054,ok fake account
10000055,wait one more minute smoke worries away laugh at people at airport until flight
10000056,archbishop desmond tutus family and friends gathered for his official state funeral on new years day in cape town capping a wee…
10000057,sickening but drunk is his brand isnt it
10000058,wow off sitewide thats huugeshopping cartconfetti ball ad strainz diet amp nutrition since strainz has b…
10000059,same i turned the channel wake up there are other options on new year ’ s eve and their focus is on entertainment not drunken rants by a selfabsorbed narcissistic manchild ryanseacrest
10000060,funny how the nye show on let go but kept wacko disgraceful you gave up actual talent for him
10000061,“ one of the issues w ’ s reporting on ethiopia was her sole focus on alleged atrocities committed in tigray while purposefully disregarding crimes comd by tplf in amhara amp afar junepresent ” nomore twitterracism
10000062,this is false
10000063,you work for no wonder your tweets and reporting are so biased garbage company garbage “ reporters ”
10000064,yes right on soon us population will be halved can still go to war with russia n china
10000065,times more potent that is gold for medical field hiv cure might be very close i am excited enzc enzc …
10000066,the us is ringing in the new year amid a covid surge that experts warn is exploding at unprecedented speed and could alter dail…
10000067,at least srs as if they dont matter one life is as worthy as millions are
10000068,it feels all so cheap and tawdry
10000069,i was saying the same thing year after year anchors does this and it ’ s not cool at all i ’ ve never been drunk and never will be and seeing it make me sick that ’ s one of the major reasons i don ’ t watch them just saying
10000070,leon with the race card
10000071,renderings of the new orient express la dolce vita have been revealed and as youd expect from the worlds most glamorous train c…
10000072,there will be viewers of their documentary
10000073,green heartyellow heartred hearthuman rights organizations amp western journalists have lost the trust of people big time in the conflict in ethiopia humanity ’ s dark side has been exposed nomore lies unityforethiopia
10000074,loved talking to right before she went on stage her songs were the soundtrack to my college years ny…
10000075,he used to do real reporting now hes an establishment shill
10000076,that is entirely incorrect getting a accurate share count or shutting down the dark pools will not do any anything for the trading of the stock except make sure buys and sell orders are moved through the lit exchanges and we get the actually market value of the stock
10000077,please sign my petition for binance big burn pm price up today one million holders
10000078,the last land war battle here was so might need to change that non informed opinion of yours maori language te reo in schools was banned until i believe so nah with the ’ s of years ago thing
10000079,we had huge winter storm moving which created huge winds it was very dry for the few weeks wind brought down power lines and the fire started authorities did amazing job evacuated k people in h below photo was taken week before fires it was dry here
10000080,equality for all in all
10000081,the united states is now reporting new coronavirus cases per day the highest sevenday average since the pandemic…
10000082,this is americas media in a nutshell ratings over facts and truth over people they all have their own agenda and all want advertising dollars sad state of affairs news is not entertainment
10000083,reel to reel i remember those well yes im definitely old nowface with tears of joy
10000084,excellent idea
10000085,every frame of on nye is a meme
